4.24|4.200537
4.06|3.989251
4.22|4.106359
3.4|3.450267
4.2|3.756
3.39|3.347995
4.25|4.353008
3.98|4.266383
3.36|3.16614
3.61|3.586702
4.24|3.988956
3.69|3.645748
4.05|4.144397
4.14|4.248967
4.55|4.395003
4.06|3.887694
2.99|3.694156
4.3|4.248464
3.67|3.495773
2.82|2.944921
4.3|4.178237
4.42|4.23135
4.06|4.250571
4.42|4.168244
4.19|3.7652
4.24|4.211841
4.16|4.342671
4.13|4.064911
3.51|3.673169
3.7|3.682896
4.01|4.115586
2.08|4.261645
4.37|4.49375
4.29|4.344048
4.22|4.242323
3.86|3.701731
4.28|4.23915
3.4|3.168978
4.09|4.067859
3.98|4.074189
4.06|4.029694
3.11|3.57535
4.05|4.082423
4.31|4.230764
2.68|3.5405
4.28|4.170222
3.32|3.746149
3.45|3.881292
3.9|3.948899
3.81|3.717958
4.28|4.085625
4.05|4.249958
4.3|3.901959
4.33|4.32476
4.07|3.993291
4.38|4.189653
3.68|4.129531
3.96|3.92215
4.3|4.293407
4.07|4.158276
3.0|3.16614
2.84|3.204855
4.46|4.340457
4.35|4.246283
3.78|3.72749
4.43|4.257728
3.01|3.689752
4.29|4.359904
4.16|3.88826
3.31|2.645786
4.4|4.429238
4.21|4.30848
4.29|4.120823
2.96|3.065273
4.12|4.050296
4.4|4.260255
4.17|3.992986
3.96|3.984375
4.12|3.948113
3.35|3.887074
4.26|3.955746
4.37|4.291262
3.39|3.869432
3.73|4.061747
3.3|3.433406
3.74|3.45777
4.26|4.140783
4.24|4.366963
3.96|3.875629
4.35|4.26427
3.81|3.726791
4.1|3.637857
3.91|4.014117
3.56|3.891094
4.42|4.278164
4.08|4.369941
3.76|3.878545
4.16|3.660566
4.17|4.037068
4.39|4.267546
4.32|4.159851
3.76|4.202728
3.99|4.24126
2.61|3.492538
4.0|4.086953
4.04|3.537561
4.25|4.337222
3.75|3.841184
3.5|3.873741
4.09|4.483265
3.71|3.866087
3.65|3.630538
4.39|4.291899
4.28|3.936377
3.18|3.3311
3.78|4.243659
3.9|3.89894
3.97|3.954365
3.8|3.905484
3.91|4.260575
3.75|3.869432
3.97|3.964687
3.27|3.558959
4.2|4.220285
4.38|4.359904
3.99|4.264748
4.13|4.33
4.03|3.606431
